ip|browser|os
94.25.170.xxx|chromemobile|android
94.25.171.xxx|chromemobile|android
94.29.124.xxx|chromemobile|android
94.79.7.xxx|chrome|windows
95.131.147.xxx|yandex_browser|windows
95.165.172.xxx|chromium|gnu_linux
95.165.186.xxx|chrome|windows
95.165.187.xxx|chrome|windows
95.165.200.xxx|chrome|windows
95.171.232.xxx|edge|windows
95.183.112.xxx|yandexsearch|ios_double
95.183.83.xxx|safari_mobile|ios_double
95.221.130.xxx|chrome|windows
95.221.132.xxx|firefox|windows
95.221.49.xxx|chrome|windows
95.221.52.xxx|yandex_browser|android
95.24.228.xxx|safari_mobile|ios_double
95.24.231.xxx|yandex_browser|windows
95.25.189.xxx|yandex_browser|windows
95.26.165.xxx|yandex_browser|windows
95.26.228.xxx|chromemobile|android
95.26.64.xxx|chromemobile|android
95.26.83.xxx|yandexsearch|android
95.26.90.xxx|chrome|windows
95.27.144.xxx|yandex_browser|android
95.27.145.xxx|chromemobile|android
95.27.151.xxx|yandex_browser|android
95.27.152.xxx|chromemobile|android
95.27.154.xxx|yandex_browser|windows
95.27.157.xxx|chromemobile|ios_double
95.27.159.xxx|yandex_browser|windows
95.27.232.xxx|safari_mobile|ios_double
95.30.186.xxx|chromemobile|android
95.53.235.xxx|chrome|windows
95.72.11.xxx|chrome|windows
95.72.127.xxx|safari_mobile|ios_double
95.72.157.xxx|chromemobile|android
95.72.204.xxx|chrome|windows
95.72.4.xxx|safari_mobile|ios_double
95.73.147.xxx|firefox|windows
95.73.188.xxx|yandex_browser|android
95.73.189.xxx|chromemobile|android
95.84.134.xxx|chromemobile|android
95.84.139.xxx|yandex_browser|ios_double
95.84.155.xxx|chrome|windows
95.84.194.xxx|chrome|windows
